"title","attribution","roomTitle","url.art","imagepath","Status","month","year","monthyear","datechange"
"Woman #1","Dindga McCannon","East Building, Mezzanine - Gallery 214A","/content/ngaweb/collection/art-object-page.225619.html","https://media.nga.gov/iiif/f5c898ad-8925-426d-9c4a-9745ab7ac5ae/full/!384,384/0/default.jpg","Removed","September","2023","September 2023","September 13"
"G.S.P. Reidsville","Winfred Rembert","East Building, Mezzanine - Gallery 214A","/content/ngaweb/collection/art-object-page.224753.html","https://media.nga.gov/iiif/33104891-5103-4c4c-8482-2147a6a1f94b/full/!384,384/0/default.jpg","Removed","September","2023","September 2023","September 13"
"Parlor Picture","Barbara Rossi","East Building, Mezzanine - Gallery 214B","/content/ngaweb/collection/art-object-page.223724.html","https://media.nga.gov/iiif/fc9c3608-1aad-4839-bfc5-2271b0386030/full/!384,384/0/default.jpg","Removed","September","2023","September 2023","September 13"
"Flea Market","Hilary Pecis","East Building, Mezzanine - Gallery 214B","/content/ngaweb/collection/art-object-page.223827.html","https://media.nga.gov/iiif/bb445547-af45-4591-94de-d9116694dcf2/full/!384,384/0/default.jpg","Removed","September","2023","September 2023","September 13"
"Homage to the Auction Block #43, a separation","Steve Locke","East Building, Mezzanine - Gallery 214C","/content/ngaweb/collection/art-object-page.225214.html","https://media.nga.gov/iiif/477aa844-27fb-4c98-bec0-2eea0b3cfccf/full/!384,384/0/default.jpg","Removed","September","2023","September 2023","September 13"
"Homage to the Auction Block #65, overlook","Steve Locke","East Building, Mezzanine - Gallery 214C","/content/ngaweb/collection/art-object-page.225215.html","https://media.nga.gov/iiif/85b306d4-4d3d-4892-aa10-819508f401d2/full/!384,384/0/default.jpg","Removed","September","2023","September 2023","September 13"
"Plus Tax: Shopping Bag Society, Rag Man Series","John Outterbridge","East Building, Mezzanine - Gallery 214D","/content/ngaweb/collection/art-object-page.221459.html","https://media.nga.gov/iiif/627605da-8385-4e0c-9c55-764c11d27697/full/!384,384/0/default.jpg","Removed","September","2023","September 2023","September 13"
"Georgiana, Shirley, and Sharon","Nancy Shaver","East Building, Mezzanine - Gallery 214D","/content/ngaweb/collection/art-object-page.222038.html","https://media.nga.gov/iiif/f2c94c3b-d970-4675-bab9-1bb4b60ac02a/full/!384,384/0/default.jpg","Removed","September","2023","September 2023","September 13"
"Indian Pursuing Buffalo","Alexander Phimister Proctor","West Building, Main Floor - Lobby C","/content/ngaweb/collection/art-object-page.176573.html","https://media.nga.gov/iiif/b1601e9d-bd68-4b3b-9af7-a12b6382e3f2/full/!384,384/0/default.jpg","Removed","September","2023","September 2023","September 13"
"Indian Warrior","Alexander Phimister Proctor","West Building, Main Floor - Lobby C","/content/ngaweb/collection/art-object-page.176657.html","https://media.nga.gov/iiif/33cbe6f4-bf17-4a2e-a9e9-a3761f0d5673/full/!384,384/0/default.jpg","Removed","September","2023","September 2023","September 13"
